Fips,Average Humidity,State_Code
21049,75.97%,KY
21075,75.90%,KY
21167,75.90%,KY
21131,75.67%,KY
21189,75.47%,KY
21107,75.37%,KY
21123,75.32%,KY
21095,75.02%,KY
21105,74.94%,KY
21047,74.87%,KY
21031,74.84%,KY
21065,74.81%,KY
21013,74.79%,KY
21179,74.73%,KY
21113,74.73%,KY
21083,74.71%,KY
21229,74.59%,KY
21099,74.53%,KY
21177,74.53%,KY
21121,74.23%,KY
21061,74.01%,KY
21051,73.99%,KY
21235,73.66%,KY
21109,73.62%,KY
21151,73.60%,KY
21021,73.24%,KY
21219,73.24%,KY
21125,73.17%,KY
21155,73.00%,KY
21079,72.79%,KY
21203,72.02%,KY
21137,71.87%,KY
21227,71.78%,KY
21141,71.74%,KY
21199,71.72%,KY
21087,71.54%,KY
21089,71.54%,KY
21045,71.51%,KY
21217,71.13%,KY
21009,70.66%,KY
21213,70.20%,KY
21001,69.98%,KY
21003,69.90%,KY
21169,69.71%,KY
21231,69.21%,KY
21053,69.00%,KY
21207,68.56%,KY
21057,68.32%,KY
21171,67.73%,KY
22029,78.82%,LA
22025,78.73%,LA
22125,78.64%,LA
22045,78.56%,LA
22057,78.40%,LA
22007,78.31%,LA
22021,78.29%,LA
22105,78.27%,LA
22109,78.10%,LA
22077,78.08%,LA
22063,77.74%,LA
22009,77.70%,LA
22037,77.50%,LA
22059,77.41%,LA
22041,77.36%,LA
22033,77.21%,LA
22121,77.14%,LA
22005,76.95%,LA
22047,76.72%,LA
22117,76.72%,LA
22083,76.56%,LA
22107,76.52%,LA
22067,76.45%,LA
22075,76.33%,LA
22123,76.22%,LA
22035,76.19%,LA
22065,76.17%,LA
22051,76.13%,LA
22053,76.13%,LA
22127,75.81%,LA
22061,75.56%,LA
22073,75.30%,LA
22049,75.12%,LA
22027,74.96%,LA
22013,74.88%,LA
22119,74.76%,LA
22079,74.74%,LA
22085,74.58%,LA
22043,74.54%,LA
22081,74.54%,LA
22111,74.54%,LA
22069,74.28%,LA
22055,74.18%,LA
22019,74.13%,LA
22017,74.05%,LA
22023,73.73%,LA
22003,73.68%,LA
22011,73.58%,LA
22031,73.55%,LA
22015,73.35%,LA
22071,73.22%,LA
22039,73.16%,LA
22115,73.04%,LA
22001,70.90%,LA
22113,70.69%,LA
22053,69.73%,LA
23019,85.48%,ME
23029,84.82%,ME
23027,84.47%,ME
23021,83.10%,ME
23025,83.04%,ME
23011,82.85%,ME
23007,81.37%,ME
23015,80.97%,ME
23023,80.59%,ME
23009,79.77%,ME
23017,79.54%,ME
23003,79.52%,ME
23013,78.11%,ME
23031,77.59%,ME
23001,77.38%,ME
23005,72.72%,ME
24047,82.76%,MD
24017,79.93%,MD
24045,78.65%,MD
24009,77.19%,MD
24039,77.04%,MD
24021,76.88%,MD
24019,76.77%,MD
24043,75.92%,MD
24031,75.38%,MD
24001,75.20%,MD
24033,75.00%,MD
24041,73.47%,MD
24013,73.40%,MD
24003,73.34%,MD
24015,73.15%,MD
24011,73.09%,MD
24035,72.95%,MD
24025,72.29%,MD
24023,72.18%,MD
24005,71.54%,MD
24510,71.54%,MD
24029,71.25%,MD
24027,71.04%,MD
24510,70.28%,MD
25019,84.93%,MA
25001,81.41%,MA
25007,80.66%,MA
25023,79.30%,MA
25027,78.90%,MA
25005,78.81%,MA
25009,77.24%,MA
25013,76.95%,MA
25011,76.56%,MA
25015,75.03%,MA
25003,73.35%,MA
25021,71.44%,MA
25017,71.31%,MA
25025,69.80%,MA
26039,81.92%,MI
26025,80.90%,MI
26045,80.84%,MI
26087,80.78%,MI
26143,80.74%,MI
26033,79.85%,MI
26013,79.40%,MI
26113,79.27%,MI
26063,78.88%,MI
26037,78.83%,MI
26065,78.73%,MI
26095,78.71%,MI
26059,78.66%,MI
26069,78.44%,MI
26067,78.20%,MI
26023,78.16%,MI
26075,77.96%,MI
26103,77.83%,MI
26043,77.67%,MI
26115,77.63%,MI
26015,77.41%,MI
26135,77.37%,MI
26091,77.00%,MI
26071,76.63%,MI
26129,76.47%,MI
26057,76.42%,MI
26089,76.39%,MI
26145,76.38%,MI
26047,76.35%,MI
26157,76.14%,MI
26035,76.12%,MI
26049,76.06%,MI
26079,75.96%,MI
26007,75.96%,MI
26099,75.85%,MI
26001,75.74%,MI
26155,75.50%,MI
26119,75.43%,MI
26093,75.02%,MI
26081,74.96%,MI
26077,74.95%,MI
26137,74.92%,MI
26003,74.88%,MI
26109,74.73%,MI
26053,74.05%,MI
26123,73.99%,MI
26161,73.96%,MI
26125,73.93%,MI
26117,73.85%,MI
26111,73.76%,MI
26107,73.49%,MI
26105,73.30%,MI
26133,73.27%,MI
26055,73.21%,MI
26073,73.18%,MI
26051,73.13%,MI
26011,72.87%,MI
26019,72.42%,MI
26083,72.42%,MI
26141,72.16%,MI
26151,72.15%,MI
26029,71.74%,MI
26163,71.61%,MI
26061,71.58%,MI
26101,71.21%,MI
26041,71.12%,MI
26027,71.05%,MI
26159,70.61%,MI
26139,70.50%,MI
26165,70.36%,MI
26017,70.00%,MI
26097,69.82%,MI
26085,69.74%,MI
26021,68.48%,MI
26153,68.28%,MI
26121,68.25%,MI
26131,67.94%,MI
26005,67.46%,MI
26009,67.18%,MI
26031,66.76%,MI
26127,66.10%,MI
27097,86.07%,MN
27145,85.29%,MN
27153,85.18%,MN
27067,84.74%,MN
27093,84.51%,MN
27121,84.43%,MN
27035,84.34%,MN
27041,84.26%,MN
27009,84.15%,MN
27021,83.80%,MN
27129,83.69%,MN
27057,83.68%,MN
27127,83.61%,MN
27063,83.61%,MN
27033,83.31%,MN
27165,83.25%,MN
27071,83.20%,MN
27007,83.18%,MN
27015,83.17%,MN
27159,83.16%,MN
27023,83.03%,MN
27091,82.80%,MN
27103,82.78%,MN
27151,82.56%,MN
27061,82.42%,MN
27143,82.23%,MN
27047,82.21%,MN
27043,82.18%,MN
27095,82.08%,MN
27173,82.06%,MN
27111,81.95%,MN
27101,81.92%,MN
27141,81.90%,MN
27013,81.88%,MN
27161,81.79%,MN
27171,81.78%,MN
27087,81.75%,MN
27029,81.69%,MN
27119,81.65%,MN
27149,81.62%,MN
27051,81.60%,MN
27099,81.53%,MN
27105,81.51%,MN
27083,81.46%,MN
27107,81.38%,MN
27027,81.14%,MN
27011,81.11%,MN
27117,81.11%,MN
27005,81.10%,MN
27125,81.04%,MN
27133,80.96%,MN
27089,80.93%,MN
27135,80.88%,MN
27113,80.75%,MN
27045,80.52%,MN
27147,80.51%,MN
27019,80.49%,MN
27155,80.39%,MN
27079,80.30%,MN
27081,80.02%,MN
27039,79.88%,MN
27109,79.87%,MN
27169,79.84%,MN
27055,79.83%,MN
27059,79.60%,MN
27065,79.52%,MN
27167,79.25%,MN
27053,79.09%,MN
27003,79.07%,MN
27157,78.89%,MN
27131,78.88%,MN
27115,78.50%,MN
27139,78.46%,MN
27069,78.44%,MN
27001,78.33%,MN
27025,77.74%,MN
27123,77.45%,MN
27163,77.30%,MN
27037,76.57%,MN
27049,76.34%,MN
27075,75.09%,MN
27077,75.09%,MN
27125,75.09%,MN
27017,74.85%,MN
27031,73.67%,MN
28137,79.44%,MS
28093,79.26%,MS
28001,79.15%,MS
28157,79.06%,MS
28005,78.98%,MS
28037,78.75%,MS
28147,78.69%,MS
28063,78.45%,MS
28065,78.45%,MS
28045,78.15%,MS
28071,78.07%,MS
28115,77.90%,MS
28113,77.84%,MS
28009,77.81%,MS
28145,77.72%,MS
28107,77.62%,MS
28085,77.57%,MS
28013,77.54%,MS
28139,77.46%,MS
28081,77.45%,MS
28057,77.16%,MS
28143,77.13%,MS
28161,76.90%,MS
28029,76.76%,MS
28021,76.72%,MS
28065,76.71%,MS
28091,76.66%,MS
28119,76.52%,MS
28003,76.51%,MS
28017,76.44%,MS
28135,76.40%,MS
28125,76.37%,MS
28077,76.33%,MS
28025,76.31%,MS
28131,76.28%,MS
28055,76.24%,MS
28095,76.18%,MS
28087,76.16%,MS
28109,75.99%,MS
28031,75.98%,MS
28117,75.97%,MS
28127,75.96%,MS
28103,75.96%,MS
28141,75.92%,MS
28027,75.89%,MS
28149,75.80%,MS
28043,75.78%,MS
28049,75.64%,MS
28073,75.38%,MS
28151,75.34%,MS
28067,75.23%,MS
28111,75.18%,MS
28047,75.14%,MS
28105,74.97%,MS
28129,74.94%,MS
28053,74.79%,MS
28011,74.79%,MS
28069,74.78%,MS
28075,74.66%,MS
28153,74.59%,MS
28133,74.55%,MS
28121,74.39%,MS
28035,74.26%,MS
28083,74.26%,MS
28123,74.22%,MS
28061,73.87%,MS
28089,73.79%,MS
28023,73.66%,MS
28097,73.65%,MS
28155,73.61%,MS
28015,73.57%,MS
28163,73.51%,MS
28007,73.41%,MS
28101,73.27%,MS
28041,73.14%,MS
28051,73.07%,MS
28019,73.02%,MS
28039,72.97%,MS
28159,72.86%,MS
28079,72.85%,MS
28099,72.81%,MS
28059,72.55%,MS
29163,82.16%,MO
29113,81.58%,MO
29223,81.32%,MO
29219,80.93%,MO
29165,80.85%,MO
29017,80.45%,MO
29047,80.43%,MO
29069,80.42%,MO
29139,80.41%,MO
29049,80.19%,MO
29227,80.14%,MO
29031,80.10%,MO
29021,80.05%,MO
29173,79.90%,MO
29199,79.87%,MO
29095,79.65%,MO
29155,79.56%,MO
29127,79.54%,MO
29147,79.48%,MO
29151,79.39%,MO
29045,79.35%,MO
29075,79.23%,MO
29027,79.13%,MO
29003,79.06%,MO
29005,78.90%,MO
29157,78.76%,MO
29123,78.75%,MO
29207,78.75%,MO
29177,78.74%,MO
29197,78.73%,MO
29025,78.73%,MO
29023,78.67%,MO
29101,78.50%,MO
29073,78.50%,MO
29201,78.50%,MO
29081,78.42%,MO
29007,78.39%,MO
29087,78.38%,MO
29161,78.32%,MO
29037,78.30%,MO
29117,78.26%,MO
29071,78.26%,MO
29111,78.21%,MO
29181,78.14%,MO
29107,78.05%,MO
29137,78.00%,MO
29061,77.93%,MO
29065,77.91%,MO
29143,77.90%,MO
29089,77.77%,MO
29175,77.74%,MO
29079,77.68%,MO
29129,77.64%,MO
29205,77.63%,MO
29133,77.63%,MO
29051,77.62%,MO
29179,77.59%,MO
29211,77.55%,MO
29103,77.51%,MO
29125,77.44%,MO
29019,77.42%,MO
29083,77.40%,MO
29131,77.28%,MO
29033,77.24%,MO
29035,77.21%,MO
29099,77.21%,MO
29171,77.20%,MO
29055,77.14%,MO
29001,77.08%,MO
29169,77.02%,MO
29015,77.02%,MO
29215,77.00%,MO
29195,76.85%,MO
29115,76.84%,MO
29041,76.78%,MO
29013,76.75%,MO
29141,76.54%,MO
29159,76.53%,MO
29213,76.52%,MO
29029,76.46%,MO
29203,76.45%,MO
29121,76.44%,MO
29153,76.44%,MO
29105,76.42%,MO
29091,76.36%,MO
29135,76.34%,MO
29221,76.22%,MO
29093,76.09%,MO
29059,75.98%,MO
29053,75.95%,MO
29085,75.88%,MO
29039,75.87%,MO
29217,75.86%,MO
29011,75.69%,MO
29067,75.51%,MO
29229,75.41%,MO
29149,75.28%,MO
29009,75.21%,MO
29057,75.16%,MO
29043,75.15%,MO
29209,75.14%,MO
29167,75.05%,MO
29077,74.51%,MO
29225,74.47%,MO
29097,74.44%,MO
29145,74.27%,MO
29109,74.21%,MO
30081,84.62%,MT
30039,84.51%,MT
30063,84.21%,MT
30061,84.03%,MT
30083,83.59%,MT
30077,83.47%,MT
30023,83.41%,MT
30093,83.36%,MT
30001,83.08%,MT
30057,82.46%,MT
30043,82.42%,MT
30085,82.07%,MT
30091,81.92%,MT
30019,81.61%,MT
30109,81.53%,MT
30007,81.43%,MT
30037,81.34%,MT
30105,81.34%,MT
30021,81.22%,MT
30071,81.16%,MT
30047,80.53%,MT
30089,80.47%,MT
30069,80.46%,MT
30099,80.14%,MT
30025,80.09%,MT
30067,79.97%,MT
30113,79.97%,MT
30097,79.88%,MT
30013,79.83%,MT
30009,79.74%,MT
30031,79.61%,MT
30075,79.58%,MT
30015,79.56%,MT
30035,79.32%,MT
30095,79.29%,MT
30011,79.21%,MT
30005,79.09%,MT
30073,79.00%,MT
30059,78.97%,MT
30041,78.81%,MT
30079,78.60%,MT
30053,78.56%,MT
30111,78.52%,MT
30113,78.52%,MT
30029,78.28%,MT
30103,78.12%,MT
30003,78.06%,MT
30065,77.83%,MT
30037,77.80%,MT
30101,77.64%,MT
30045,77.61%,MT
30033,77.53%,MT
30107,77.26%,MT
30027,77.25%,MT
30017,76.98%,MT
30051,76.38%,MT
30087,76.30%,MT
31029,83.11%,NE
31057,83.10%,NE
31031,83.08%,NE
31135,82.92%,NE
31085,82.26%,NE
31103,81.80%,NE
31087,81.79%,NE
31045,81.60%,NE
31063,81.59%,NE
31047,81.54%,NE
31161,81.42%,NE
31067,81.03%,NE
31111,80.77%,NE
31049,80.60%,NE
31151,80.55%,NE
31095,80.52%,NE
31165,80.49%,NE
31097,80.39%,NE
31073,80.28%,NE
31017,80.16%,NE
31133,80.12%,NE
31025,80.10%,NE
31153,80.09%,NE
31131,80.05%,NE
31055,79.96%,NE
31145,79.91%,NE
31091,79.86%,NE
31041,79.80%,NE
31019,79.70%,NE
31109,79.66%,NE
31127,79.65%,NE
31171,79.65%,NE
31113,79.53%,NE
31115,79.52%,NE
31059,79.43%,NE
31013,79.33%,NE
31003,79.32%,NE
31137,79.25%,NE
31077,79.24%,NE
31101,79.20%,NE
31169,79.17%,NE
31043,79.15%,NE
31035,79.13%,NE
31139,79.12%,NE
31147,79.06%,NE
31105,79.03%,NE
31075,78.71%,NE
31083,78.67%,NE
31183,78.64%,NE
31129,78.64%,NE
31071,78.59%,NE
31107,78.48%,NE
31001,78.43%,NE
31009,78.40%,NE
31173,78.26%,NE
31015,78.18%,NE
31007,78.16%,NE
31175,78.15%,NE
31033,78.00%,NE
31027,77.97%,NE
31177,77.96%,NE
31065,77.91%,NE
31089,77.83%,NE
31099,77.79%,NE
31051,77.75%,NE
31021,77.72%,NE
31119,77.68%,NE
31149,77.67%,NE
31079,77.66%,NE
31061,77.66%,NE
31069,77.60%,NE
31011,77.60%,NE
31123,77.58%,NE
31163,77.54%,NE
31157,77.47%,NE
31179,77.46%,NE
31093,77.41%,NE
31185,77.31%,NE
31005,77.20%,NE
31155,77.16%,NE
31181,77.00%,NE
31159,77.00%,NE
31125,76.98%,NE
31167,76.61%,NE
31039,76.00%,NE
31081,75.96%,NE
31121,75.64%,NE
31143,75.20%,NE
31141,74.99%,NE
31023,73.58%,NE
31053,73.46%,NE
31037,72.91%,NE
32011,83.11%,NV
32015,83.02%,NV
32007,82.74%,NV
32013,82.41%,NV
32033,81.32%,NV
32023,81.09%,NV
32027,80.53%,NV
32009,80.17%,NV
32510,78.98%,NV
32001,78.86%,NV
32005,78.74%,NV
32031,77.93%,NV
32021,77.47%,NV
32029,77.26%,NV
32003,77.15%,NV
32019,76.71%,NV
32017,76.02%,NV
33013,84.61%,NH
33001,83.76%,NH
33003,83.11%,NH
33011,82.82%,NH
33015,82.76%,NH
33017,82.62%,NH
33009,82.31%,NH
33007,81.55%,NH
33019,80.88%,NH
33005,77.40%,NH
34001,81.11%,NJ
34009,79.40%,NJ
34005,77.52%,NJ
34041,76.49%,NJ
34029,76.07%,NJ
34019,75.63%,NJ
34021,74.06%,NJ
34035,73.43%,NJ
34023,73.29%,NJ
34025,72.53%,NJ
34011,72.50%,NJ
34037,72.10%,NJ
34007,70.23%,NJ
34031,70.04%,NJ
34027,68.92%,NJ
34003,67.99%,NJ
34039,66.87%,NJ
34033,66.66%,NJ
34013,65.62%,NJ
34017,65.46%,NJ
34015,64.09%,NJ
35033,80.38%,NM
35055,79.61%,NM
35039,79.48%,NM
35029,79.36%,NM
35023,79.30%,NM
35047,79.29%,NM
35017,78.44%,NM
35028,78.28%,NM
35007,78.05%,NM
35037,77.89%,NM
35045,77.55%,NM
35049,77.47%,NM
35019,77.44%,NM
35013,77.01%,NM
35043,76.92%,NM
35051,76.50%,NM
35059,76.32%,NM
35021,76.19%,NM
35003,75.95%,NM
35015,75.94%,NM
35035,75.78%,NM
35053,75.17%,NM
35001,74.83%,NM
35061,74.80%,NM
35006,74.79%,NM
35057,74.29%,NM
35025,73.57%,NM
35041,73.42%,NM
35011,73.33%,NM
35009,73.28%,NM
35005,73.26%,NM
35027,73.16%,NM
36103,83.65%,NY
36007,82.88%,NY
36107,81.23%,NY
36111,80.20%,NY
36053,79.99%,NY
36017,79.86%,NY
36015,79.80%,NY
36065,79.79%,NY
36079,79.67%,NY
36067,79.39%,NY
36029,79.34%,NY
36049,79.33%,NY
36045,79.33%,NY
36027,79.20%,NY
36109,79.02%,NY
36105,79.00%,NY
36025,78.99%,NY
36041,78.67%,NY
36043,78.46%,NY
36023,78.31%,NY
36039,78.17%,NY
36055,77.87%,NY
36077,77.83%,NY
36095,77.78%,NY
36121,77.74%,NY
36011,77.56%,NY
36059,77.53%,NY
36073,77.39%,NY
36003,77.27%,NY
36099,77.14%,NY
36069,77.01%,NY
36009,76.73%,NY
36037,76.69%,NY
36019,76.69%,NY
36093,76.34%,NY
36057,76.17%,NY
36097,76.00%,NY
36075,75.80%,NY
36123,75.77%,NY
36119,75.69%,NY
36101,75.68%,NY
36031,75.54%,NY
36071,75.48%,NY
36051,75.29%,NY
36013,75.20%,NY
36001,75.09%,NY
36035,74.74%,NY
36063,74.65%,NY
36113,74.30%,NY
36091,74.09%,NY
36117,73.97%,NY
36021,73.89%,NY
36115,73.86%,NY
36087,72.95%,NY
36083,72.77%,NY
36033,71.18%,NY
36085,68.28%,NY
36005,68.09%,NY
36061,66.34%,NY
36047,66.33%,NY
36081,65.49%,NY
37067,82.21%,NC
37059,82.11%,NC
37055,81.97%,NC
37197,81.51%,NC
37133,81.21%,NC
37061,81.04%,NC
37139,80.86%,NC
37081,80.54%,NC
37193,80.41%,NC
37157,80.23%,NC
37137,79.99%,NC
37031,79.97%,NC
37097,79.94%,NC
37019,79.82%,NC
37029,79.56%,NC
37141,79.56%,NC
37169,79.53%,NC
37155,79.21%,NC
37057,79.10%,NC
37005,79.09%,NC
37053,79.07%,NC
37003,79.07%,NC
37131,78.77%,NC
37145,78.73%,NC
37171,78.70%,NC
37073,78.61%,NC
37143,78.52%,NC
37173,78.43%,NC
37177,78.41%,NC
37101,78.36%,NC
37129,78.30%,NC
37135,78.20%,NC
37033,78.16%,NC
37009,78.15%,NC
37049,78.08%,NC
37159,77.96%,NC
37189,77.90%,NC
37035,77.77%,NC
37063,77.76%,NC
37103,77.71%,NC
37027,77.61%,NC
37011,77.61%,NC
37163,77.48%,NC
37185,77.39%,NC
37121,77.33%,NC
37047,77.25%,NC
37077,77.23%,NC
37013,77.18%,NC
37181,77.13%,NC
37025,77.10%,NC
37085,76.98%,NC
37083,76.88%,NC
37151,76.88%,NC
37199,76.69%,NC
37095,76.65%,NC
37001,76.64%,NC
37087,76.52%,NC
37051,76.31%,NC
37183,76.30%,NC
37021,76.25%,NC
37023,76.20%,NC
37017,76.17%,NC
37007,76.09%,NC
37099,76.07%,NC
37075,76.03%,NC
37167,75.74%,NC
37115,75.73%,NC
37109,75.73%,NC
37153,75.71%,NC
37039,75.63%,NC
37093,75.61%,NC
37127,75.56%,NC
37041,75.51%,NC
37037,75.47%,NC
37187,75.44%,NC
37113,75.34%,NC
37105,75.32%,NC
37043,75.31%,NC
37119,75.30%,NC
37091,75.21%,NC
37165,75.20%,NC
37071,75.16%,NC
37123,75.06%,NC
37179,74.95%,NC
37191,74.70%,NC
37069,74.64%,NC
37195,74.58%,NC
37107,74.37%,NC
37065,74.14%,NC
37125,73.99%,NC
37045,73.65%,NC
37089,73.33%,NC
37117,73.26%,NC
37161,73.08%,NC
37079,73.04%,NC
37175,72.99%,NC
37015,72.94%,NC
37149,71.55%,NC
37147,69.74%,NC
38105,84.21%,ND
38013,83.54%,ND
38035,83.27%,ND
38023,83.20%,ND
38075,83.14%,ND
38025,83.11%,ND
38061,82.56%,ND
38091,82.47%,ND
38101,82.10%,ND
38033,82.10%,ND
38007,82.10%,ND
38097,81.91%,ND
38099,81.76%,ND
38009,81.68%,ND
38089,81.67%,ND
38039,81.42%,ND
38019,81.33%,ND
38079,81.32%,ND
38057,81.27%,ND
38063,81.12%,ND
38021,81.06%,ND
38087,80.99%,ND
38085,80.97%,ND
38037,80.91%,ND
38095,80.80%,ND
38081,80.70%,ND
38041,80.67%,ND
38027,80.37%,ND
38011,80.37%,ND
38001,80.35%,ND
38029,80.33%,ND
38017,80.02%,ND
38031,80.01%,ND
38003,80.01%,ND
38073,80.00%,ND
38059,79.99%,ND
38047,79.65%,ND
38071,79.62%,ND
38065,79.47%,ND
38005,79.24%,ND
38077,79.21%,ND
38067,79.10%,ND
38015,78.74%,ND
38069,78.65%,ND
38093,78.50%,ND
38043,78.37%,ND
38083,77.86%,ND
38103,76.94%,ND
39015,82.23%,OH
39009,82.05%,OH
39167,82.04%,OH
39001,81.88%,OH
39115,81.62%,OH
39105,81.58%,OH
39087,81.42%,OH
39111,81.35%,OH
39081,81.29%,OH
39027,81.08%,OH
39071,81.00%,OH
39025,80.89%,OH
39085,80.85%,OH
39073,80.80%,OH
39121,80.77%,OH
39163,80.72%,OH
39013,80.66%,OH
39131,80.60%,OH
39035,80.58%,OH
39145,80.55%,OH
39047,80.41%,OH
39127,80.38%,OH
39067,80.35%,OH
39057,80.26%,OH
39165,80.20%,OH
39059,80.18%,OH
39141,80.05%,OH
39079,80.02%,OH
39053,79.77%,OH
39023,79.63%,OH
39129,79.47%,OH
39109,79.41%,OH
39097,79.40%,OH
39029,79.32%,OH
39119,79.30%,OH
39045,78.97%,OH
39113,78.93%,OH
39099,78.74%,OH
39103,78.55%,OH
39171,78.44%,OH
39161,78.41%,OH
39125,77.85%,OH
39021,77.76%,OH
39155,77.69%,OH
39037,77.63%,OH
39019,77.59%,OH
39089,77.54%,OH
39017,77.46%,OH
39049,77.46%,OH
39039,77.38%,OH
39083,77.37%,OH
39149,77.23%,OH
39135,77.23%,OH
39061,77.23%,OH
39093,77.15%,OH
39095,77.03%,OH
39051,76.85%,OH
39011,76.81%,OH
39007,76.79%,OH
39137,76.78%,OH
39069,76.47%,OH
39003,76.46%,OH
39107,76.33%,OH
39031,76.22%,OH
39041,76.15%,OH
39159,76.12%,OH
39133,76.07%,OH
39055,76.03%,OH
39173,75.94%,OH
39117,75.87%,OH
39139,75.74%,OH
